Source,Dish,Ingredients,Normalized Ingredients
20210422-LU-RePa-Report.pdf,Hommos bi tahini,"Chickpeas, garlic cloves, lemon juice, Tahini, olive oil, salt","chickpeas, garlic, tahini"
20210422-LU-RePa-Report.pdf,Kafta wa batata,"Minced lamb, flat-leaf parsley, onions, salt and pepper, onions, red pepper, tomato juice, debs roman, olive oil, salt and pepper, potatoes, ripe tomatoes, vegetable oil","lamb, parsley, onion, pepper, tomato, debs roman, potato"
20210422-LU-RePa-Report.pdf,Kibba bi sayniya,"Finely ground beef (or lamb, lean), bulgur cracked wheat, salt, all spice, cumin, onions (finely chopped)","beef, bulgur, wheat, onion"
20210422-LU-RePa-Report.pdf,Koussa mehchi,"Minced lamb, small zucchini, short grain rice, olive oil, salt and black pepper","lamb, zucchini, rice"
20210422-LU-RePa-Report.pdf,Lahm bi ajeen,"Plain white flour, caster sugar, bakers' yeast, salt, olive oil, minced lamb, tomatoes, few drops of pomegranate molasses, salt and pepper","flour, yeast, lamb, tomato, pomegranate molasses"
20210422-LU-RePa-Report.pdf,Loubia bi zet,"Vegetable oil, white onions, sliced, frozen bag green beans, garlic cloves, peeled, Cans of chopped tomatoes, salt and sweet pepper to taste, 7 spices, extra-virgin olive oil","onion, green bean, garlic, tomato"
20210422-LU-RePa-Report.pdf,Malfouf mehchi,"Cabbage leaves, basic vegetables stuffing, tomato, lemon juice, water, cinnamon, garlic cloves, dry mint","cabbage, vegetables, tomato, garlic, mint"
20210422-LU-RePa-Report.pdf,Moujadara,"Green or coral lentils, short-grain rice, onions, olive oil, salt","lentil, rice, onion"
20210422-LU-RePa-Report.pdf,Moghrabia,"Dry dough, chickpeas, pearl onions, vegetable oil, caraway butter, ground cinnamon, ground cumin, salt, black pepper","dough, chickpeas, onion, butter"
20210422-LU-RePa-Report.pdf,Mousaka batinjan,"Aubergine, yellow or white onion, diced, garlic cloves, minced, low-salt chickpeas, extra virgin olive oil, low-salt diced tomatoes, tomato paste, piquant post spicy mint blend, pita chips or crusty bread for dipping, salt and pepper to taste","aubergine, onion, garlic, chickpea, tomato, tomato paste, mint, chip, bread"
20210422-LU-RePa-Report.pdf,Riz a dajaj,"Chicken breast, basmati rice, carrot, onions, tomato juice, whole black peppercorns, whole green cardamoms, cinnamon, cloves, cumin, vegetable oil, salt","chicken, rice, carrot, onion, tomato, cardamom, cinnamon, clove, cumin"
20210422-LU-RePa-Report.pdf,Riz b lahma,"Medium fat meat, basmati rice, carrot, onions, tomato juice, whole black peppercorns, whole green cardamoms, cinnamon, cloves, cumin, vegetable oils, salt","meat, rice, carrot, onion, tomato, cardamom, cinnamon, clove, cumin"
20210422-LU-RePa-Report.pdf,Sayadiah,"Sea bass, scaled and gutted or in fillets, basmati rice, onions, caraway seeds, ground cumin, pines nuts, olive oil, fish stock, vegetable oil, salt, flour, butter, lemon juice","sea bass, rice, onion, caraway, cumin, pine nut, fish stock, flour, butter"
20210422-LU-RePa-Report.pdf,Shawarma dajaj,"Chicken, olive oil, onions, red vinegar, lemon juice, pepper, cinnamon, nutmeg, salt, cloves of garlic","chicken, onion, vinegar, garlic"
20210422-LU-RePa-Report.pdf,Shawarma lahma,"Meat, olive oil, onions, red vinegar, lemon juice, pepper, cinnamon, nutmeg, salt, cloves of garlic","meat, onion, vinegar, garlic"
20210422-LU-RePa-Report.pdf,Tabboula,"Tomatoes, spring onions, flat leaf parsley, mint, bulgur wheat, lemon juice, olive oil, salt","tomato, onion, parsley, mint, bulgur wheat"
20210422-LU-RePa-Report.pdf,Warak enab,"Vine leaves, tomatoes, onion, flat-leaf parsley, mint, lemon juice, short-grain rice, meat, olive oil, salt","vine leaf, tomato, onion, parsley, mint, rice, meat"
20210422-LU-RePa-Report.pdf,Yakhnet Bamia,"Lamb cubed, onions, garlic cloves minced, green coriander, okra, lemon juice, salt, pepper, water and tomatoes","lamb, onion, garlic, coriander, okra, tomato"
20210422-LU-RePa-Report.pdf,Yakhnet Fassoulia,"Shoulder of lamb, fresh white haricot beans, coriander, onions, garlic cloves, tomato juice, olive oil, water or chicken stock, salt and black pepper","lamb, haricot bean, coriander, onion, garlic, tomato, stock"
20210422-LU-RePa-Report.pdf,Yakhnet Mouloukhia,"Free-range chicken, basmati rice, coriander, garlic cloves, onion, shallots, pitta bread, vinegar, lemon juice, vegetable oil and salt","chicken, rice, coriander, garlic, onion, shallot, bread, vinegar"
20210422-LU-RePa-Report.pdf,Baklava mixed,"Sheets of phyllo pastry, unsalted melted butter, fragrant sugar syrup. Filling Ingredients: hulled unsalted pistachios, superfine sugar, orange blossom water, rose water","phyllo pastry, butter, pistachio, sugar, orange blossom water, rose water"
20210422-LU-RePa-Report.pdf,Baklava mixed light,"Sheets of phyllo pastry, unsalted melted butter, sugar alcohol. Filling Ingredients: hulled unsalted pistachios, sugar alcohol, orange blossom water, rose water","phyllo pastry, butter, pistachio, orange blossom water, rose water"
20210422-LU-RePa-Report.pdf,Barazik,"Sesame seeds (lightly toasted), clarified chilled butter, icing sugar, egg, vanilla, vinegar, flour, baking powder, a pinch of salt, thinly sliced pistachios, milk","sesame seed, butter, sugar, egg, vanilla, vinegar, flour, baking powder, pistachio, milk"
20210422-LU-RePa-Report.pdf,Boundoukia,"Hazelnut, sugar, water, corn flour, salt, orange blossom water, rose water, butter","hazelnut, corn flour, orange blossom water, rose water, butter"
20210422-LU-RePa-Report.pdf,Daoukia,"hulled unsalted pistachios, semolina, sugar, milk, orange blossom water, rose water, butter, green colorant","pistachio, semolina, milk, butter"
20210422-LU-RePa-Report.pdf,Foustoukia,"Egg white, fine sugar, fine powdered sugar, blossom water, almonds, pistachio, dried flowers for decoration","egg, almond, pistachio"
20210422-LU-RePa-Report.pdf,Ghourayba,"Organic sugar cane, small grains mastic to yield powdered mastic, egg yolks, unsalted butter at room temperature, unbleached all-purpose flour, blanched whole almonds","sugar, mastic, egg, butter, flour, almond"
20210422-LU-RePa-Report.pdf,Halawa,"Unbleached all-purpose flour, grounded aniseed, grounded cinnamon, small grains mastic finely grounded to yield powdered mastic, sesame seeds, blanched toasted almonds, confectioners' sugar, honey, unsalted butter, sunflower oil","flour, aniseed, cinnamon, mastic, sesame seed, almond, sugar, butter"
20210422-LU-RePa-Report.pdf,Halawa light,"Unbleached all-purpose flour, grounded aniseed, grounded cinnamon, small grains mastic finely grounded to yield powdered mastic, sesame seeds, blanched toasted almonds, Sugar alcohol, unsalted butter, sunflower oil","flour, aniseed, cinnamon, mastic, sesame seed, almond, butter"
20210422-LU-RePa-Report.pdf,Halawet el jiben,"Akkawi cheese, sugar, semolina, water, kashta, orange blossom water, rose water, sugar syrup, lemon blossom and grated pistachio for decoration","akkawi cheese, semolina, kashta, lemon blossom, pistachio"
20210422-LU-RePa-Report.pdf,Ish el bulbul,"Knefeh dough, melted butter, honey, kashta, sweetened lemon blossom, pistachios","knefeh dough, butter, kashta, lemon blossom, pistachio"
20210422-LU-RePa-Report.pdf,Kallaj kashta,"Sugar, pistachios, lemon blossom, milk, kallaj sheets. Kashta ingredients: milk, cream fresh, rose water, blossom water, corn flour, sugar. Sugar syrup ingredients: sugar, water, lemon juice","pistachio, lemon blossom, milk, kallaj sheets, cream, rose water, blossom water, corn flour"
20210422-LU-RePa-Report.pdf,Karabij joz maa crema,"Grounded finely walnuts, caster sugar, cold water, rose water, extra-fine semolina, unsalted softened butter, granulated sugar, grounded mahlab, whole milk, active dry yeast dissolved with sugar in water. Cream Ingredients: egg whites, sugar, rose water, blossom water","walnut, semolina, butter, mahlab, milk, yeast, egg, cream"
20210422-LU-RePa-Report.pdf,Katayef kashta,"Flour, a pinch of salt, sugar, instant dry yeast, lukewarm water, baking soda, rose syrup. Akkawi cheese or ricotta mixed with Mozarella, fresh grated Mozarella cheese, sugar, rose water","flour, yeast, baking soda, rose syrup, cheese, mozzarella, rose water"
20210422-LU-RePa-Report.pdf,Kounafa kashta bil kaak,"Milk, cream fresh, rose water, blossom water, corn flour, sugar, ""hair"" pastry, unsalted diced butter, fragrant sugar syrup","milk, cream, rose water, blossom water, corn flour, pastry, butter, syrup"
20210422-LU-RePa-Report.pdf,Kounafa bil jiben,"Akkawi cheese or cow's milk mozarella, ""hair"" pastry, unsalted diced butter, fragrant sugar syrup","akkawi cheese, mozzarella, pastry, butter, sugar syrup"
20210422-LU-RePa-Report.pdf,Maakaron,"Blanched almonds plus whole almonds, superfine sugar, almond extract, freshly squeezed lemon juice, egg whites","almond, sugar, almond extract, lemon, egg whites"
20210422-LU-RePa-Report.pdf,Maakroum and moushabak,"Flour, corn flour, yeast, water. Sugar syrup: sugar, water, lemon juice","flour, corn flour, yeast, lemon"
20210422-LU-RePa-Report.pdf,Maamoul tamer,"Semolina, grounded mahlab, clarified melted butter, instant dry yeast, sugar, full-fat milk, icing sugar for dusting. Chopped pitted dates, grounded nutmeg, melted butter","semolina, mahlab, butter, yeast, milk, dates, nutmeg"
20210422-LU-RePa-Report.pdf,Maamoul mad kashta,"Semolina, ghee, sugar, fine semolina, ground mahlab, yeast, rose water, blossom water. Filling Ingredients: water, sweetened condensed milk, corn flour, blossom water","semolina, ghee, mahlab, yeast, rose water, blossom water, condensed milk, corn flour"
20210422-LU-RePa-Report.pdf,Maamoul mad joz,"Semolina, flour (ferkha), unsalted butter melted, ghee, melted, instant yeast, flour, sugar, orange blossom water, rose water For filling: walnuts, pistachios, orange blossom water, rose water, sugar","semolina, flour, butter, ghee, yeast, walnuts, pistachios"
20210422-LU-RePa-Report.pdf,Maamoul fostok,"Regular semolina, unbleached all-purpose flour, superfine sugar, fast-acting (instant) yeast, unsalted butter at room temperature, orange blossom water, rose water. Hulled unsalted pistachio, superfine sugar, orange blossom water, rose water","semolina, flour, sugar, yeast, butter, orange blossom water, rose water, pistachio"
20210422-LU-RePa-Report.pdf,Maamoul joz,"Semolina, grounded mahlab, clarified melted butter, instant dry yeast, sugar, full-fat milk, icing sugar for dusting Fine chopped walnuts, sugar, orange blossom water, zest of orange, and cinnamon","semolina, mahlab, butter, yeast, milk, walnuts, orange blossom water, orange zest"
20210422-LU-RePa-Report.pdf,Madlouka,"Milk, starch, sugar, semolina, fried nuts almond and cashew, vinegar, blossom water, ghee, water, ground pistachio liquid cream, lemon juice, sugar cherry","milk, starch, semolina, almond, cashew, vinegar, ghee, pistachio, cream, cherry"
20210422-LU-RePa-Report.pdf,Mafrouka kashta,"Semolina, cream liquid milk, red lemon blossom, ground pistachio, flower water, liquid whipping cream, white toast, butter, liquid vanilla, corn starch Sugar syrup ingredients: sugar, water","semolina, milk, lemon, pistachio, flower water, cream, toast, butter, vanilla, corn starch"
20210422-LU-RePa-Report.pdf,Mafrouka fostok,"Sugar, butter, sweetened concentrated milk, rose water, water, semolina, roasted pistachio mixture, and cornstarch. Sugar syrup ingredients: sugar, water, rose water","butter, milk, semolina, pistachio, cornstarch"
20210422-LU-RePa-Report.pdf,Moufattaka,"Rice, sugar, tahini, turmeric, water, pine nuts, cinnamon powder","rice, tahini, pine nuts"
20210422-LU-RePa-Report.pdf,Mouhallabiya,"Whole milk, granulated sugar, liquid honey (optional), grounded almonds, grounded walnuts","milk, almonds, walnuts"
20210422-LU-RePa-Report.pdf,Moushabak,"Flour, corn stretch, water, dry instant yeast, sugar, sunflower oil for frying. Sugar syrup","flour, corn stretch, yeast, syrup"
20210422-LU-RePa-Report.pdf,Nammoura,"Regular semolina, fine semolina, grounded mastic with sugar, sugar, salt, clarified melted butter, rose water, yogurt, baking soda, tahini, blanched almonds, rose syrup. Sugar, water, lemon juice, orange blossom water, rose water","semolina, mastic, butter, yogurt, baking soda, tahini, almond, rose syrup, lemon, orange blossom"
20210422-LU-RePa-Report.pdf,Osmaliya,"Krefeh packet, milk, starch, melted ghee, sugar syrup, crushed pistachios","krefeh, milk, starch, ghee, pistachio"
20210422-LU-RePa-Report.pdf,Riz bil Halib,"Cornstarch, cold milk, full-fat milk, heavy cream, vanilla pod, presoaked and drained short-grain white rice, sugar, rose water, orange blossom water","cornstarch, milk, cream, vanilla, rice, rose water, orange blossom water"
20210422-LU-RePa-Report.pdf,Saniora,"Flour, sugar, ghee, butter, almonds or pistachios","flour, almonds, pistachios"
20210422-LU-RePa-Report.pdf,Sfouf,"Semolina, flour, turmeric powder, milk, vegetable oil, sugar, water, baking powder, tahina to grease the baking tray, pine nuts","semolina, flour, milk, baking powder, tahina, pine nut"
20210422-LU-RePa-Report.pdf,Shaybiyat,"Sheets of phyllo pastry, unsalted melted butter, fragrant sugar syrup. Walnuts, superfine sugar, grounded cinnamon, orange blossom water, rose water. Superfine sugar, freshly squeezed lemon juice, water, rose water, orange blossom water","phyllo pastry, butter, walnuts, sugar, cinnamon, lemon juice"
20210422-LU-RePa-Report.pdf,Ward el sham,"Phyllo pastry sheets, cream, butter, vegetable oil, ghee, ground pistachios. Sugar syrup ingredients: sugar, water, lemon juice, rose water, blossom water","phyllo pastry, cream, butter, ghee, pistachio"
20210422-LU-RePa-Report.pdf,Znoud el sitt,"Spring roll dough, milk, liquid cream, starch, flour, water, rose water, corn oil, sugar syrup, pistachios","dough, milk, cream, starch, flour, rose water, pistachio"
ChatGPT,Koshari,"Rice, lentils, macaroni, chickpeas, tomato sauce, fried onions, garlic vinegar sauce","rice, lentil, macaroni, chickpeas, tomato sauce, onion, garlic, vinegar"
ChatGPT,Molokhia,"Molokhia leaves, chicken or rabbit, garlic, coriander, rice, lemon juice","molokhia, chicken, rabbit, garlic, coriander, rice"
ChatGPT,Ful Medames,"Fava beans, garlic, lemon juice, olive oil, cumin, parsley, tomatoes","fava bean, garlic, tomato"
ChatGPT,Mahshi,"Stuffed vegetables (zucchini, eggplant, peppers), rice, herbs, tomatoes, spices","zucchini, aubergine, pepper, rice, tomato"
ChatGPT,Shakshuka,"Tomatoes, bell peppers, onions, eggs, chili peppers, cumin, paprika","tomato, bell pepper, onion, egg"
ChatGPT,Mansaf,"Lamb, rice, jameed (dried yogurt), almonds, pine nuts, bread","lamb, rice, jameed, almond, pine nut, bread"
ChatGPT,Maqluba,"Rice, chicken or lamb, eggplant, cauliflower, tomatoes, spices","rice, chicken, lamb, aubergine, cauliflower, tomato"
ChatGPT,Mutabbaq,"Thin dough, minced meat, onions, eggs, spices, green onions","dough, meat, onion, egg"
ChatGPT,Harees,"Wheat, chicken or lamb, ghee, cinnamon, cardamom","wheat, chicken, lamb, ghee"
ChatGPT,Thareed,"Lamb, vegetables, bread, broth, spices","lamb, vegetable, bread, broth"
ChatGPT,Machboos,"Rice, chicken or lamb, tomatoes, onions, spices, dried lime","rice, chicken, lamb, tomato, onion, lime"
ChatGPT,Luqaimat,"Flour, yeast, sugar, cardamom, saffron, sesame seeds, date syrup","flour, yeast, cardamom, saffron, sesame seed, date syrup"
ChatGPT,Balaleet,"Vermicelli, eggs, sugar, cardamom, saffron, rose water","vermicelli, egg, cardamom, saffron, rose water"
ChatGPT,Shawarma,"Chicken or lamb, garlic sauce, tahini, pickles, pita bread","chicken, lamb, garlic sauce, tahini, pickles, bread"
ChatGPT,Falafel,"Chickpeas, parsley, cilantro, garlic, cumin, baking soda, sesame seeds","chickpea, garlic, sesame seed"
ChatGPT,Tabbouleh,"Parsley, bulgur wheat, tomatoes, onions, lemon juice, olive oil","bulgur wheat, tomato, onion"
ChatGPT,Hummus,"Chickpeas, tahini, garlic, lemon juice, olive oil","chickpeas, tahini, garlic"
ChatGPT,Baklava,"Phyllo dough, pistachios or walnuts, sugar syrup, butter","phyllo dough, pistachio, walnut, butter"
ChatGPT,Kunafa,"Shredded phyllo dough, cheese or cream, sugar syrup, pistachios","phyllo dough, cheese, cream, pistachio"
ChatGPT,Samak Mashwi,"Grilled fish, tamarind sauce, garlic, chili peppers, lemon juice","fish, tamarind, garlic, chili, lemon"
ChatGPT,Tashreeb,"Lamb, bread, tomatoes, onions, spices, broth","lamb, bread, tomato, onion, broth"
ChatGPT,Qatayef,"Sweet dough, cheese or nuts, sugar syrup, cinnamon","dough, cheese, nuts"
ChatGPT,Mulukhiyah,"Jute leaves, chicken or rabbit, garlic, coriander, rice, lemon juice","jute leaves, chicken, garlic, coriander, rice"
ChatGPT,Shish Tawook,"Chicken, garlic, yogurt, lemon juice, spices, grilled","chicken, garlic, yogurt"
ChatGPT,Kofta Bil Tahini,"Minced meat, tahini sauce, potatoes, onions, garlic, lemon juice","meat, tahini, potato, onion, garlic"
ChatGPT,Fattah,"Rice, bread, meat, garlic vinegar sauce, yogurt","rice, bread, meat, yogurt"
ChatGPT,Sayadiyah,"Fish, rice, caramelized onions, spices, lemon juice","fish, rice, onion"
