Source,Dish,Ingredients
ChatGPT,Falafel,"Chickpeas, parsley, cilantro, garlic, cumin, baking soda, sesame seeds"
ChatGPT,Tabbouleh,"Parsley, bulgur wheat, tomatoes, onions, lemon juice, olive oil"
ChatGPT,Hummus,"Chickpeas, tahini, garlic, lemon juice, olive oil"
ChatGPT,Baklava,"Phyllo dough, pistachios or walnuts, sugar syrup, butter"
ChatGPT,Kunafa,"Shredded phyllo dough, cheese or cream, sugar syrup, pistachios"
ChatGPT,Samak Mashwi,"Grilled fish, tamarind sauce, garlic, chili peppers, lemon juice"
ChatGPT,Tashreeb,"Lamb, bread, tomatoes, onions, spices, broth"
ChatGPT,Qatayef,"Sweet dough, cheese or nuts, sugar syrup, cinnamon"
ChatGPT,Mulukhiyah,"Jute leaves, chicken or rabbit, garlic, coriander, rice, lemon juice"
ChatGPT,Shish Tawook,"Chicken, garlic, yogurt, lemon juice, spices, grilled"
ChatGPT,Kofta Bil Tahini,"Minced meat, tahini sauce, potatoes, onions, garlic, lemon juice"
ChatGPT,Fattah,"Rice, bread, meat, garlic vinegar sauce, yogurt"
ChatGPT,Sayadiyah,"Fish, rice, caramelized onions, spices, lemon juice"
