Source,Dish,Ingredients,Normalized Ingredients
20210422-LU-RePa-Report.pdf,Hommos bi tahini,"Chickpeas, garlic cloves, lemon juice, Tahini, olive oil, salt","chickpeas, garlic, lemon juice, tahini"
20210422-LU-RePa-Report.pdf,Kafta wa batata,"Minced lamb, flat-leaf parsley, onions, salt and pepper, onions, red pepper, tomato juice, debs roman, olive oil, salt and pepper, potatoes, ripe tomatoes, vegetable oil","lamb, flat-leaf parsley, onions, salt and pepper, onions, red pepper, tomato juice, debs roman, salt and pepper, potatoes, ripe tomatoes"
20210422-LU-RePa-Report.pdf,Kibba bi sayniya,"Finely ground beef (or lamb, lean), bulgur cracked wheat, salt, all spice, cumin, onions (finely chopped)","finely  beef (or lamb, lean), bulgur cracked wheat, all spice, cumin, onions (finely )"
20210422-LU-RePa-Report.pdf,Koussa mehchi,"Minced lamb, small zucchini, short grain rice, olive oil, salt and black pepper","lamb, small zucchini, short grain rice, salt and black pepper"
20210422-LU-RePa-Report.pdf,Lahm bi ajeen,"Plain white flour, caster sugar, bakers' yeast, salt, olive oil, minced lamb, tomatoes, few drops of pomegranate molasses, salt and pepper","plain white flour, caster sugar, bakers' yeast, lamb, tomato, few drops of pomegranate molasses, salt and pepper"
20210422-LU-RePa-Report.pdf,Loubia bi zet,"Vegetable oil, white onions, sliced, frozen bag green beans, garlic cloves, peeled, Cans of chopped tomatoes, salt and sweet pepper to taste, 7 spices, extra-virgin olive oil","onion, frozen bag green beans, garlic, peeled, cans of  tomatoes, salt and sweet pepper to taste, 7 spices, extra-virgin olive oil"
20210422-LU-RePa-Report.pdf,Malfouf mehchi,"Cabbage leaves, basic vegetables stuffing, tomato, lemon juice, water, cinnamon, garlic cloves, dry mint","cabbage, basic vegetables stuffing, tomato, lemon juice, cinnamon, garlic, dry mint"
20210422-LU-RePa-Report.pdf,Moujadara,"Green or coral lentils, short-grain rice, onions, olive oil, salt","green or coral lentils, short-grain rice, onions"
20210422-LU-RePa-Report.pdf,Moghrabia,"Dry dough, chickpeas, pearl onions, vegetable oil, caraway butter, ground cinnamon, ground cumin, salt, black pepper","dry dough, chickpeas, pearl onions, caraway butter, cinnamon, cumin"
20210422-LU-RePa-Report.pdf,Mousaka batinjan,"Aubergine, yellow or white onion, diced, garlic cloves, minced, low-salt chickpeas, extra virgin olive oil, low-salt diced tomatoes, tomato paste, piquant post spicy mint blend, pita chips or crusty bread for dipping, salt and pepper to taste","aubergine, yellow or white onion, diced, garlic, low-salt chickpeas, extra virgin olive oil, low-salt diced tomatoes, tomato paste, piquant post spicy mint blend, pita chips or crusty bread for dipping, salt and pepper to taste"
20210422-LU-RePa-Report.pdf,Riz a dajaj,"Chicken breast, basmati rice, carrot, onions, tomato juice, whole black peppercorns, whole green cardamoms, cinnamon, cloves, cumin, vegetable oil, salt","chicken, basmati rice, carrot, onions, tomato juice, black peppercorns, green cardamoms, cinnamon, cumin"
20210422-LU-RePa-Report.pdf,Riz b lahma,"Medium fat meat, basmati rice, carrot, onions, tomato juice, whole black peppercorns, whole green cardamoms, cinnamon, cloves, cumin, vegetable oils, salt","medium fat meat, basmati rice, carrot, onions, tomato juice, black peppercorns, green cardamoms, cinnamon, cumin, vegetable oils"
20210422-LU-RePa-Report.pdf,Sayadiah,"Sea bass, scaled and gutted or in fillets, basmati rice, onions, caraway seeds, ground cumin, pines nuts, olive oil, fish stock, vegetable oil, salt, flour, butter, lemon juice","sea bass, scaled and gutted or in fillets, basmati rice, onions, caraway seeds, cumin, pines nuts, fish stock, lemon juice"
20210422-LU-RePa-Report.pdf,Shawarma dajaj,"Chicken, olive oil, onions, red vinegar, lemon juice, pepper, cinnamon, nutmeg, salt, cloves of garlic","chicken, onions, red vinegar, lemon juice, pepper, cinnamon, nutmeg, of garlic"
20210422-LU-RePa-Report.pdf,Shawarma lahma,"Meat, olive oil, onions, red vinegar, lemon juice, pepper, cinnamon, nutmeg, salt, cloves of garlic","meat, onions, red vinegar, lemon juice, pepper, cinnamon, nutmeg, of garlic"
20210422-LU-RePa-Report.pdf,Tabboula,"Tomatoes, spring onions, flat leaf parsley, mint, bulgur wheat, lemon juice, olive oil, salt","tomato, spring onions, flat leaf parsley, mint, bulgur wheat, lemon juice"
20210422-LU-RePa-Report.pdf,Warak enab,"Vine leaves, tomatoes, onion, flat-leaf parsley, mint, lemon juice, short-grain rice, meat, olive oil, salt","vine, tomato, onion, flat-leaf parsley, mint, lemon juice, short-grain rice, meat"
20210422-LU-RePa-Report.pdf,Yakhnet Bamia,"Lamb cubed, onions, garlic cloves minced, green coriander, okra, lemon juice, salt, pepper, water and tomatoes","lamb cubed, onions, garlic, green coriander, okra, lemon juice, pepper, water and tomatoes"
20210422-LU-RePa-Report.pdf,Yakhnet Fassoulia,"Shoulder of lamb, fresh white haricot beans, coriander, onions, garlic cloves, tomato juice, olive oil, water or chicken stock, salt and black pepper","shoulder of lamb, white haricot beans, coriander, onions, garlic, tomato juice, water or chicken stock, salt and black pepper"
20210422-LU-RePa-Report.pdf,Yakhnet Mouloukhia,"Free-range chicken, basmati rice, coriander, garlic cloves, onion, shallots, pitta bread, vinegar, lemon juice, vegetable oil and salt","free-range chicken, basmati rice, coriander, garlic, onion, shallots, pitta bread, lemon juice, vegetable oil and salt"
20210422-LU-RePa-Report.pdf,Baklava mixed,"Sheets of phyllo pastry, unsalted melted butter, fragrant sugar syrup. Filling Ingredients: hulled unsalted pistachios, superfine sugar, orange blossom water, rose water","sheets of phyllo pastry, unsalted melted butter, fragrant sugar syrup. filling ingredients: hulled unsalted pistachios, superfine sugar, orange blossom water, rose water"
20210422-LU-RePa-Report.pdf,Baklava mixed light,"Sheets of phyllo pastry, unsalted melted butter, sugar alcohol. Filling Ingredients: hulled unsalted pistachios, sugar alcohol, orange blossom water, rose water","sheets of phyllo pastry, unsalted melted butter, sugar alcohol. filling ingredients: hulled unsalted pistachios, sugar alcohol, orange blossom water, rose water"
20210422-LU-RePa-Report.pdf,Barazik,"Sesame seeds (lightly toasted), clarified chilled butter, icing sugar, egg, vanilla, vinegar, flour, baking powder, a pinch of salt, thinly sliced pistachios, milk","sesame seeds (lightly toasted), clarified chilled butter, icing sugar, egg, vanilla, baking, a pinch of salt, thinly  pistachios, milk"
20210422-LU-RePa-Report.pdf,Boundoukia,"Hazelnut, sugar, water, corn flour, salt, orange blossom water, rose water, butter","hazelnut, corn flour, orange blossom water, rose water"
20210422-LU-RePa-Report.pdf,Daoukia,"hulled unsalted pistachios, semolina, sugar, milk, orange blossom water, rose water, butter, green colorant","hulled unsalted pistachios, semolina, milk, orange blossom water, rose water, green colorant"
20210422-LU-RePa-Report.pdf,Foustoukia,"Egg white, fine sugar, fine powdered sugar, blossom water, almonds, pistachio, dried flowers for decoration","egg white, fine sugar, fine powdered sugar, blossom water, almonds, pistachio, flowers for decoration"
20210422-LU-RePa-Report.pdf,Ghourayba,"Organic sugar cane, small grains mastic to yield powdered mastic, egg yolks, unsalted butter at room temperature, unbleached all-purpose flour, blanched whole almonds","organic sugar cane, small grains mastic to yield powdered mastic, egg yolks, unsalted butter at room temperature, unbleached all-purpose flour, blanched  almonds"
20210422-LU-RePa-Report.pdf,Halawa,"Unbleached all-purpose flour, grounded aniseed, grounded cinnamon, small grains mastic finely grounded to yield powdered mastic, sesame seeds, blanched toasted almonds, confectioners' sugar, honey, unsalted butter, sunflower oil","unbleached all-purpose flour, grounded aniseed, grounded cinnamon, small grains mastic finely grounded to yield powdered mastic, sesame seeds, blanched toasted almonds, confectioners' sugar, honey, unsalted butter, sunflower oil"
20210422-LU-RePa-Report.pdf,Halawa light,"Unbleached all-purpose flour, grounded aniseed, grounded cinnamon, small grains mastic finely grounded to yield powdered mastic, sesame seeds, blanched toasted almonds, Sugar alcohol, unsalted butter, sunflower oil","unbleached all-purpose flour, grounded aniseed, grounded cinnamon, small grains mastic finely grounded to yield powdered mastic, sesame seeds, blanched toasted almonds, sugar alcohol, unsalted butter, sunflower oil"
20210422-LU-RePa-Report.pdf,Halawet el jiben,"Akkawi cheese, sugar, semolina, water, kashta, orange blossom water, rose water, sugar syrup, lemon blossom and grated pistachio for decoration","akkawi cheese, semolina, kashta, orange blossom water, rose water, sugar syrup, lemon blossom and grated pistachio for decoration"
20210422-LU-RePa-Report.pdf,Ish el bulbul,"Knefeh dough, melted butter, honey, kashta, sweetened lemon blossom, pistachios","knefeh dough, melted butter, honey, kashta, sweetened lemon blossom, pistachios"
20210422-LU-RePa-Report.pdf,Kallaj kashta,"Sugar, pistachios, lemon blossom, milk, kallaj sheets. Kashta ingredients: milk, cream fresh, rose water, blossom water, corn flour, sugar. Sugar syrup ingredients: sugar, water, lemon juice","pistachios, lemon blossom, milk, kallaj sheets. kashta ingredients: milk, cream, rose water, blossom water, corn flour, sugar. sugar syrup ingredients: sugar, lemon juice"
20210422-LU-RePa-Report.pdf,Karabij joz maa crema,"Grounded finely walnuts, caster sugar, cold water, rose water, extra-fine semolina, unsalted softened butter, granulated sugar, grounded mahlab, whole milk, active dry yeast dissolved with sugar in water. Cream Ingredients: egg whites, sugar, rose water, blossom water","grounded finely walnuts, caster sugar, cold water, rose water, extra-fine semolina, unsalted softened butter, granulated sugar, grounded mahlab, milk, active dry yeast dissolved with sugar in water. cream ingredients: egg whites, rose water, blossom water"
20210422-LU-RePa-Report.pdf,Katayef kashta,"Flour, a pinch of salt, sugar, instant dry yeast, lukewarm water, baking soda, rose syrup. Akkawi cheese or ricotta mixed with Mozarella, fresh grated Mozarella cheese, sugar, rose water","a pinch of salt, instant dry yeast, lukewarm water, rose syrup. akkawi cheese or ricotta mixed with mozarella, grated mozarella cheese, rose water"
20210422-LU-RePa-Report.pdf,Kounafa kashta bil kaak,"Milk, cream fresh, rose water, blossom water, corn flour, sugar, ""hair"" pastry, unsalted diced butter, fragrant sugar syrup","milk, cream, rose water, blossom water, corn flour, ""hair"" pastry, unsalted diced butter, fragrant sugar syrup"
20210422-LU-RePa-Report.pdf,Kounafa bil jiben,"Akkawi cheese or cow's milk mozarella, ""hair"" pastry, unsalted diced butter, fragrant sugar syrup","akkawi cheese or cow's milk mozarella, ""hair"" pastry, unsalted diced butter, fragrant sugar syrup"
20210422-LU-RePa-Report.pdf,Maakaron,"Blanched almonds plus whole almonds, superfine sugar, almond extract, freshly squeezed lemon juice, egg whites","blanched almonds plus  almonds, superfine sugar, almond extract, freshly squeezed lemon juice, egg whites"
20210422-LU-RePa-Report.pdf,Maakroum and moushabak,"Flour, corn flour, yeast, water. Sugar syrup: sugar, water, lemon juice","corn flour, water. sugar syrup: sugar, lemon juice"
20210422-LU-RePa-Report.pdf,Maamoul tamer,"Semolina, grounded mahlab, clarified melted butter, instant dry yeast, sugar, full-fat milk, icing sugar for dusting. Chopped pitted dates, grounded nutmeg, melted butter","semolina, grounded mahlab, clarified melted butter, instant dry yeast, full-fat milk, icing sugar for dusting.  pitted dates, grounded nutmeg, melted butter"
20210422-LU-RePa-Report.pdf,Maamoul mad kashta,"Semolina, ghee, sugar, fine semolina, ground mahlab, yeast, rose water, blossom water. Filling Ingredients: water, sweetened condensed milk, corn flour, blossom water","semolina, ghee, fine semolina, mahlab, rose water, blossom water. filling ingredients: water, sweetened condensed milk, corn flour, blossom water"
20210422-LU-RePa-Report.pdf,Maamoul mad joz,"Semolina, flour (ferkha), unsalted butter melted, ghee, melted, instant yeast, flour, sugar, orange blossom water, rose water For filling: walnuts, pistachios, orange blossom water, rose water, sugar","semolina, flour (ferkha), unsalted butter melted, ghee, melted, instant yeast, orange blossom water, rose water for filling: walnuts, pistachios, orange blossom water, rose water"
20210422-LU-RePa-Report.pdf,Maamoul fostok,"Regular semolina, unbleached all-purpose flour, superfine sugar, fast-acting (instant) yeast, unsalted butter at room temperature, orange blossom water, rose water. Hulled unsalted pistachio, superfine sugar, orange blossom water, rose water","regular semolina, unbleached all-purpose flour, superfine sugar, fast-acting (instant) yeast, unsalted butter at room temperature, orange blossom water, rose water. hulled unsalted pistachio, superfine sugar, orange blossom water, rose water"
20210422-LU-RePa-Report.pdf,Maamoul joz,"Semolina, grounded mahlab, clarified melted butter, instant dry yeast, sugar, full-fat milk, icing sugar for dusting Fine chopped walnuts, sugar, orange blossom water, zest of orange, and cinnamon","semolina, grounded mahlab, clarified melted butter, instant dry yeast, full-fat milk, icing sugar for dusting fine  walnuts, orange blossom water, zest of orange, and cinnamon"
20210422-LU-RePa-Report.pdf,Madlouka,"Milk, starch, sugar, semolina, fried nuts almond and cashew, vinegar, blossom water, ghee, water, ground pistachio liquid cream, lemon juice, sugar cherry","milk, starch, semolina, fried nuts almond and cashew, blossom water, ghee, pistachio liquid cream, lemon juice, sugar cherry"
20210422-LU-RePa-Report.pdf,Mafrouka kashta,"Semolina, cream liquid milk, red lemon blossom, ground pistachio, flower water, liquid whipping cream, white toast, butter, liquid vanilla, corn starch Sugar syrup ingredients: sugar, water","semolina, cream liquid milk, red lemon blossom, pistachio, flower water, liquid whipping cream, white toast, liquid vanilla, corn starch sugar syrup ingredients: sugar"
20210422-LU-RePa-Report.pdf,Mafrouka fostok,"Sugar, butter, sweetened concentrated milk, rose water, water, semolina, roasted pistachio mixture, and cornstarch. Sugar syrup ingredients: sugar, water, rose water","sweetened concentrated milk, rose water, semolina, roasted pistachio mixture, and cornstarch. sugar syrup ingredients: sugar, rose water"
20210422-LU-RePa-Report.pdf,Moufattaka,"Rice, sugar, tahini, turmeric, water, pine nuts, cinnamon powder","rice, tahini, turmeric, pine nuts, cinnamon"
20210422-LU-RePa-Report.pdf,Mouhallabiya,"Whole milk, granulated sugar, liquid honey (optional), grounded almonds, grounded walnuts","milk, granulated sugar, liquid honey (optional), grounded almonds, grounded walnuts"
20210422-LU-RePa-Report.pdf,Moushabak,"Flour, corn stretch, water, dry instant yeast, sugar, sunflower oil for frying. Sugar syrup","corn stretch, dry instant yeast, sunflower oil for frying. sugar syrup"
20210422-LU-RePa-Report.pdf,Nammoura,"Regular semolina, fine semolina, grounded mastic with sugar, sugar, salt, clarified melted butter, rose water, yogurt, baking soda, tahini, blanched almonds, rose syrup. Sugar, water, lemon juice, orange blossom water, rose water","regular semolina, fine semolina, grounded mastic with sugar, clarified melted butter, rose water, yogurt, tahini, blanched almonds, rose syrup. sugar, lemon juice, orange blossom water, rose water"
20210422-LU-RePa-Report.pdf,Osmaliya,"Krefeh packet, milk, starch, melted ghee, sugar syrup, crushed pistachios","krefeh packet, milk, starch, melted ghee, sugar syrup, pistachios"
20210422-LU-RePa-Report.pdf,Riz bil Halib,"Cornstarch, cold milk, full-fat milk, heavy cream, vanilla pod, presoaked and drained short-grain white rice, sugar, rose water, orange blossom water","cornstarch, cold milk, full-fat milk, heavy cream, vanilla pod, presoaked and drained short-grain white rice, rose water, orange blossom water"
20210422-LU-RePa-Report.pdf,Saniora,"Flour, sugar, ghee, butter, almonds or pistachios","ghee, almonds or pistachios"
20210422-LU-RePa-Report.pdf,Sfouf,"Semolina, flour, turmeric powder, milk, vegetable oil, sugar, water, baking powder, tahina to grease the baking tray, pine nuts","semolina, turmeric, milk, baking, tahina to grease the baking tray, pine nuts"
20210422-LU-RePa-Report.pdf,Shaybiyat,"Sheets of phyllo pastry, unsalted melted butter, fragrant sugar syrup. Walnuts, superfine sugar, grounded cinnamon, orange blossom water, rose water. Superfine sugar, freshly squeezed lemon juice, water, rose water, orange blossom water","sheets of phyllo pastry, unsalted melted butter, fragrant sugar syrup. walnuts, superfine sugar, grounded cinnamon, orange blossom water, rose water. superfine sugar, freshly squeezed lemon juice, rose water, orange blossom water"
20210422-LU-RePa-Report.pdf,Ward el sham,"Phyllo pastry sheets, cream, butter, vegetable oil, ghee, ground pistachios. Sugar syrup ingredients: sugar, water, lemon juice, rose water, blossom water","phyllo pastry sheets, cream, ghee, pistachios. sugar syrup ingredients: sugar, lemon juice, rose water, blossom water"
20210422-LU-RePa-Report.pdf,Znoud el sitt,"Spring roll dough, milk, liquid cream, starch, flour, water, rose water, corn oil, sugar syrup, pistachios","spring roll dough, milk, liquid cream, starch, rose water, corn oil, sugar syrup, pistachios"
ChatGPT,Koshari,"Rice, lentils, macaroni, chickpeas, tomato sauce, fried onions, garlic vinegar sauce","rice, lentils, macaroni, chickpeas, tomato sauce, fried onions, garlic vinegar sauce"
ChatGPT,Molokhia,"Molokhia leaves, chicken or rabbit, garlic, coriander, rice, lemon juice","molokhia, chicken or rabbit, garlic, coriander, rice, lemon juice"
ChatGPT,Ful Medames,"Fava beans, garlic, lemon juice, olive oil, cumin, parsley, tomatoes","fava beans, garlic, lemon juice, cumin, parsley, tomato"
ChatGPT,Mahshi,"Stuffed vegetables (zucchini, eggplant, peppers), rice, herbs, tomatoes, spices","stuffed vegetables (zucchini, eggplant, peppers), rice, tomato"
ChatGPT,Shakshuka,"Tomatoes, bell peppers, onions, eggs, chili peppers, cumin, paprika","tomato, bell peppers, onions, eggs, chili peppers, cumin, paprika"
ChatGPT,Mansaf,"Lamb, rice, jameed (dried yogurt), almonds, pine nuts, bread","lamb, rice, jameed ( yogurt), almonds, pine nuts, bread"
ChatGPT,Maqluba,"Rice, chicken or lamb, eggplant, cauliflower, tomatoes, spices","rice, chicken or lamb, eggplant, cauliflower, tomato"
ChatGPT,Mutabbaq,"Thin dough, minced meat, onions, eggs, spices, green onions","thin dough, meat, onions, eggs, green onions"
ChatGPT,Harees,"Wheat, chicken or lamb, ghee, cinnamon, cardamom","wheat, chicken or lamb, ghee, cinnamon, cardamom"
ChatGPT,Thareed,"Lamb, vegetables, bread, broth, spices","lamb, vegetables, bread, broth"
ChatGPT,Machboos,"Rice, chicken or lamb, tomatoes, onions, spices, dried lime","rice, chicken or lamb, tomato, onions, lime"
ChatGPT,Luqaimat,"Flour, yeast, sugar, cardamom, saffron, sesame seeds, date syrup","cardamom, saffron, sesame seeds, date syrup"
ChatGPT,Balaleet,"Vermicelli, eggs, sugar, cardamom, saffron, rose water","vermicelli, eggs, cardamom, saffron, rose water"
ChatGPT,Shawarma,"Chicken or lamb, garlic sauce, tahini, pickles, pita bread","chicken or lamb, garlic sauce, tahini, pickles, pita bread"
ChatGPT,Falafel,"Chickpeas, parsley, cilantro, garlic, cumin, baking soda, sesame seeds","chickpeas, parsley, cilantro, garlic, cumin, sesame seeds"
ChatGPT,Tabbouleh,"Parsley, bulgur wheat, tomatoes, onions, lemon juice, olive oil","parsley, bulgur wheat, tomato, onions, lemon juice"
ChatGPT,Hummus,"Chickpeas, tahini, garlic, lemon juice, olive oil","chickpeas, tahini, garlic, lemon juice"
ChatGPT,Baklava,"Phyllo dough, pistachios or walnuts, sugar syrup, butter","phyllo dough, pistachios or walnuts, sugar syrup"
ChatGPT,Kunafa,"Shredded phyllo dough, cheese or cream, sugar syrup, pistachios","shredded phyllo dough, cheese or cream, sugar syrup, pistachios"
ChatGPT,Samak Mashwi,"Grilled fish, tamarind sauce, garlic, chili peppers, lemon juice","grilled fish, tamarind sauce, garlic, chili peppers, lemon juice"
ChatGPT,Tashreeb,"Lamb, bread, tomatoes, onions, spices, broth","lamb, bread, tomato, onions, broth"
ChatGPT,Qatayef,"Sweet dough, cheese or nuts, sugar syrup, cinnamon","sweet dough, cheese or nuts, sugar syrup, cinnamon"
ChatGPT,Mulukhiyah,"Jute leaves, chicken or rabbit, garlic, coriander, rice, lemon juice","jute, chicken or rabbit, garlic, coriander, rice, lemon juice"
ChatGPT,Shish Tawook,"Chicken, garlic, yogurt, lemon juice, spices, grilled","chicken, garlic, yogurt, lemon juice, grilled"
ChatGPT,Kofta Bil Tahini,"Minced meat, tahini sauce, potatoes, onions, garlic, lemon juice","meat, tahini sauce, potatoes, onions, garlic, lemon juice"
ChatGPT,Fattah,"Rice, bread, meat, garlic vinegar sauce, yogurt","rice, bread, meat, garlic vinegar sauce, yogurt"
ChatGPT,Sayadiyah,"Fish, rice, caramelized onions, spices, lemon juice","fish, rice, caramelized onions, lemon juice"
